epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3232.52,0.8091,0.73253,0.94648,0.91719,0.80963,0.89524,0.70626,0.79877,0.74297,0.95471,0.000332518,0.000332518,0.000332518
2,7945.17,0.87309,0.7772,0.97227,0.92607,0.80634,0.89037,0.69644,0.82453,0.75976,0.97756,0.000621905,0.000621905,0.000621905
3,13603.2,0.88297,0.76359,0.97407,0.88397,0.78515,0.882,0.69598,0.80124,0.75426,0.95597,0.000867293,0.000867293,0.000867293
4,19368.9,0.86333,0.70721,0.972,0.88714,0.72763,0.80635,0.64134,0.83358,0.70484,1.01888,0.000802,0.000802,0.000802
5,24805.9,0.81886,0.62932,0.95175,0.92627,0.88513,0.94202,0.76187,0.70939,0.53918,0.9109,0.000736,0.000736,0.000736
6,30754.3,0.78581,0.55506,0.92602,0.91935,0.63678,0.66832,0.54602,0.74782,0.6129,0.93105,0.00067,0.00067,0.00067
7,34812.7,0.76074,0.52018,0.91363,0.93092,0.94302,0.96202,0.78199,0.71124,0.49064,0.91621,0.000604,0.000604,0.000604
8,39000.2,0.73379,0.47739,0.89942,0.95086,0.94034,0.96829,0.79118,0.68777,0.47524,0.90504,0.000538,0.000538,0.000538
9,43123.7,0.7097,0.45522,0.89516,0.95715,0.92992,0.96802,0.79871,0.67543,0.45038,0.90015,0.000472,0.000472,0.000472
10,46954.7,0.68041,0.42606,0.88334,0.94817,0.92542,0.96008,0.80883,0.64503,0.42448,0.89382,0.000406,0.000406,0.000406
11,50927.9,0.6645,0.40881,0.87816,0.95968,0.94738,0.97282,0.80978,0.64948,0.40811,0.8893,0.00034,0.00034,0.00034
12,55254.6,0.6417,0.38331,0.86936,0.95962,0.95254,0.97566,0.82037,0.64012,0.39513,0.88914,0.000274,0.000274,0.000274
13,59920.4,0.62229,0.36343,0.86689,0.94539,0.9676,0.97771,0.82346,0.63778,0.3905,0.88367,0.000208,0.000208,0.000208
14,65479.6,0.60925,0.3503,0.85976,0.96258,0.96457,0.97866,0.83144,0.62128,0.3745,0.88165,0.000142,0.000142,0.000142
15,70702.2,0.58417,0.33239,0.85374,0.96133,0.96479,0.97899,0.83634,0.59349,0.35334,0.87279,7.6e-05,7.6e-05,7.6e-05
